;;;;;;;;;;X
CVIEW_YEARLY_LEGITIMACY;年度正统性变化:;;;;;;;;;;X
CVIEW_LEGITIMACY_DESC;正统性是衡量你的君主有多合法的数据. \n一个不够正统的继承人继承王位时会降低正统性. ;;;;;;;;;;X
CVIEW_LEGITIMACY_AFFECTS;我国正统性的影响:;;;;;;;;;;X
NOCLAIMLEGITIMACY;你必须有至少 50 正统性. ;;;;;;;;;;X
CANNOT_CLAIM_THRONES;不可以索取王位;;;;;;;;;;X
HAVE_LEGITIMACY_LESS_THAN;正统性少于 ;;;;;;;;;;X
HAVE_LEGITIMACY_MORE_THAN;正统性至少达到 ;;;;;;;;;;X
LEGITIMACY_EFFECT;$DIRECTION$ $VALUE$ 正统性. \n;;;;;;;;;;X
NO_CHANGE;不变;;;;;;;;;;X
intolerance;不容忍;;;;;;;;;;X
legitimacy;正统性;;;;;;;;;;X
NO_RELIGION_PENALTY;消极的宗教宽容不再造成任何惩罚. ;;;;;;;;;;X
PAPACYVIEW_CANDIDATE;下一个枢机主教是来自于 $COUNTRY$ 这个国家的\n机会有$CHANCE$%. 他们对天子有 $INFLUENCE$%的影响力. ;;;;;;;;;;X
alert_claim_defender_of_the_faith_instant;信仰守护者;;;;;;;;;;X
alert_claim_defender_of_the_faith_delayed;我们可以成为信仰守护者! ;;;;;;;;;;X
CASUS_BELLI;宣战理由;;;;;;;;;;X
CARDINAL_CHANCE;枢机主教几率;;;;;;;;;;X
CULTURALTRADITION_EFFECT;$DIRECTION$ $VALUE$ 文化传统. \n;;;;;;;;;;X
CULTURAL_LABEL;文化传统:;;;;;;;;;;X
NAVAL_LABEL;海军传统:;;;;;;;;;;X
ARMY_LABEL;陆军传统:;;;;;;;;;;X
HRE_MAJORITY;大多数中原成员;;;;;;;;;;X
MOVE_FOCUS_CURRENT;这是你国家重点地区. 誓死捍卫！;;;;;;;;;;X
CONFIRMMOVEFOCUSTEXT;你希望把 $PROV$ 做为你的国家重点地区吗? ;;;;;;;;;;X
CONFIRMMOVEFOCUSTITLE;改变国家重点地区;;;;;;;;;;X
FOCUSMOVED_SETUP;当我们改变国家重点地区;;;;;;;;;;X
FOCUSMOVED_HEADER;国家重点地区已改变;;;;;;;;;;X
FOCUSMOVED_1; $COUNTRY$ ;;;;;;;;;;X
FOCUSMOVED_2;我们把我们的国家重点地区转移到;;;;;;;;;;X
FOCUSMOVED_3;$PROVINCE$;;;;;;;;;;X
FOCUSMOVED_4;随着时间推移整个地区都将得到好处! ;;;;;;;;;;X
FOCUSMOVED_5;*;;;;;;;;;;X
FOCUSMOVED_6;*;;;;;;;;;;X
FOCUSMOVED_LOG;我们已把我们的国家重点地区转移到 $PROVINCE$. ;;;;;;;;;;X
FOCUSMOVED_BTN1;好极了! ;;;;;;;;;;X
FOCUSMOVED_BTN2;好极了! ;;;;;;;;;;X
FOCUSMOVED_BTN3;转到;;;;;;;;;;X
FOCUSMOVED_MAP;*;;;;;;;;;;X
FOCUSMOVEDOTHER_SETUP;当一国转移他们的国家重点地区;;;;;;;;;;X
FOCUSMOVEDOTHER_HEADER;国家重点地区转移;;;;;;;;;;X
FOCUSMOVEDOTHER_1;$THEM$;;;;;;;;;;X
FOCUSMOVEDOTHER_2;已把国家重点地区转移到;;;;;;;;;;X
FOCUSMOVEDOTHER_3;$PROVINCE$;;;;;;;;;;X
FOCUSMOVEDOTHER_4;随着时间推移整个地区都将得到好处...;;;;;;;;;;X
FOCUSMOVEDOTHER_5;*;;;;;;;;;;X
FOCUSMOVEDOTHER_6;*;;;;;;;;;;X
FOCUSMOVEDOTHER_LOG;$THEM$ 已把国家重点转移到 $PROVINCE$. ;;;;;;;;;;X
FOCUSMOVEDOTHER_BTN1;知道了! ;;;;;;;;;;X
FOCUSMOVEDOTHER_BTN2;知道了! ;;;;;;;;;;X
FOCUSMOVEDOTHER_BTN3;转到;;;;;;;;;;X
FOCUSMOVEDOTHER_MAP;*;;;;;;;;;;X
MOVE_FOCUS_SHORT;点击此处让此地成为国家重点地区;;;;;;;;;;X
MOVE_FOCUS_COOLDOWN;我们不能转移国家重点地区直到 $DATE$. ;;;;;;;;;;X
MOVE_FOCUS_LONG;这个省份和周边地区会得到政府的特别关注, 此地将会获得令人兴奋的增长, 独特的省份事件和决议将被开启, 新的贸易中心也能在此开办. ;;;;;;;;;;X
national_focus;国家重点地区;;;;;;;;;;X
FOCUS_CHANGE;$NEW$将会成为新的国家重点地区. \n;;;;;;;;;;X
THE_NATIONAL_FOCUS_IS; $ADJ$的国家重点地区在  $PROV$\n;;;;;;;;;;X
THE_NATIONAL_FOCUS_IS_NOT;$ADJ$的国家重点地区不在$PROV$\n;;;;;;;;;;X
IS_NOT_NATIONAL_FOCUS; 不在国家重点关注省份影响内 ;;;;;;;;;;X
IS_NATIONAL_FOCUS; 得到国家重点关注省份影响;;;;;;;;;;X
ICON_TRADE_LEAGUE;提出贸易联盟;;;;;;;;;;X
ICON_TRADE_RIGHTS;要求贸易权;;;;;;;;;;X
ICON_RELIGIOUS_UNITY;要求信仰统一;;;;;;;;;;X
CCOT_NOT_FOCUS;你只能在你的国家重点地区省份或附近地区创立贸易中心. ;;;;;;;;;;X
EVTNAME1058;霸主提议得到会盟通过;;;;;;;;;;X
EVTDESC1058;一个中原霸主提议的决议在会盟中的通过! ;;;;;;;;;;X
EVTOPTA1058;太棒了;;;;;;;;;;X
BORN_IN;出生于 $COUNTRY$ . ;;;;;;;;;;X
ADVISOR_HIRED_SETUP;当一个出生于你国家的臣属被他国雇佣时. ;;;;;;;;;;X
ADVISOR_HIRED_HEADER;一个臣属被雇佣了. ;;;;;;;;;;X
ADVISOR_HIRED_1;$ADVISORNAME$;;;;;;;;;;X
ADVISOR_HIRED_2;被;;;;;;;;;;X
ADVISOR_HIRED_3;$EMPLOYER$ 雇佣了;;;;;;;;;;X
ADVISOR_HIRED_4;他是一个 $TYPE$;;;;;;;;;;X
ADVISOR_HIRED_5;你获得了 $COST$?做报酬. ;;;;;;;;;;X
ADVISOR_HIRED_6; ;;;;;;;;;;X
ADVISOR_HIRED_LOG;$ADVISORNAME$ 被 $EMPLOYER$ 雇佣了. ;;;;;;;;;;X
ADVISOR_HIRED_BTN1;知道了;;;;;;;;;;X
ADVISOR_HIRED_BTN2;知道了;;;;;;;;;;X
ADVISOR_HIRED_BTN3;转到;;;;;;;;;;X
ADVISOR_HIRED_MAP;$ADVISORNAME$ 被雇佣了. ;;;;;;;;;;X
HAD_COUNTRY_FLAG_LESS_THAN;有 '$FLAG$' 不足 $DAYS$ 天;;;;;;;;;;X
HAD_COUNTRY_FLAG_AT_LEAST;有 '$FLAG$' 至少达到 $DAYS$ 天;;;;;;;;;;X
HAD_GLOBAL_FLAG_LESS_THAN;有 '$FLAG$' 不足 $DAYS$ 天;;;;;;;;;;X
HAD_GLOBAL_FLAG_AT_LEAST;有 '$FLAG$' 至少达到 $DAYS$ 天;;;;;;;;;;X
HAD_PROVINCE_FLAG_LESS_THAN;有 '$FLAG$' 不足 $DAYS$ 天;;;;;;;;;;X
HAD_PROVINCE_FLAG_AT_LEAST;有 '$FLAG$' 至少达到 $DAYS$ 天;;;;;;;;;;X
NOCLAIMWENOTMONARCHY;只有君主制国家可以索取王位! ;;;;;;;;;;X
NOCLAIMTHEYNOTMONARCHY;他们不是君主制国家! ;;;;;;;;;;X
HRE;中原;;;;;;;;;;X
HRE_ADJ;中原的;;;;;;;;;;X
CARDINAL_CHANCE_INSTANT;有 $CHANCE$% 的机会你将得到下一个枢机主教. ;;;;;;;;;;X
CARDINAL_CHANCE_DELAYED;你有 $PROVINCES$个中原省份, 对天子有$INFLUENCE$%的影响力. 获得枢机主教的机会也取决于这些省份的税收份额. ;;;;;;;;;;X
VASSALIZE;附庸 $WHO$. \n;;;;;;;;;;X
M_FOCUS_BUTTON;转到国家重点地区;;;;;;;;;;X
M_FOCUS_BUTTON_NO;我们尚未设立国家重点地区;;;;;;;;;;X
HRE_INTERNAL_CB_ENABLED;允许中原内的战争;;;;;;;;;;X
HRE_INTERNAL_CB_DISABLED;不允许中原内的战争;;;;;;;;;;X
PERSONAL_UNION;联合统治;;;;;;;;;;X
HEREDITARY_RULE;世袭统治;;;;;;;;;;X
DISMANTLE_HRE;解散中原;;;;;;;;;;X
plutocratic_administration_title;采纳金权政治;;;;;;;;;;X
plutocratic_administration_desc;在那些经济主要依靠贸易的国家, 商人们索要\n政治地位和权利的可能性增加. 当我国的首都\n位于一个有利可图的贸易中心, 随着一个商人\n阶级的形成, 我们可以成立一个贸易同盟来增\n加我国未来的经济增长. ;;;;;;;;;;X
EFFECTIVE_DISTANCE;有效距离;;;;;;;;;;X
MOVE_FOCUS_DESC_HEADER;对此地和周边地区的影响:;;;;;;;;;;X
CAN_CREATE_COTS;可以建立贸易中心;;;;;;;;;;X
KILL_HEIR_EFFECT;当前继承人 ($NAME$) 将会死去. \n;;;;;;;;;;X
LOCAL_PRODUCTION_EFFICIENCY;本地工业生产效率;;;;;;;;;;X
CD_TRADE_RIGHTS;给予 $COUNTRY$ 关于 $GOODS$ 的贸易权 . ;;;;;;;;;;X
commission_painting_title;委托作画;;;;;;;;;;X
commission_painting_desc;雇佣一个当前最伟大的艺术家之一创造一副杰作. ;;;;;;;;;;X
endorse_culture_title;尊重当地文化;;;;;;;;;;X
endorse_culture_desc;接受当地的各种艺术家和演员. ;;;;;;;;;;X
CULTURAL_TRADITION_IRO;每年变化: ;;;;;;;;;;X
CULTURAL_TRADITION_DRO;文化传统是你国家的知识分子的潜力. 战争时期和雇佣臣属会减低你的文化传统. 文化传统通过决议, 建筑, 吏员, 事件来增加. ;;;;;;;;;;X
HEADER_CULTURE;文化;;;;;;;;;;X
CULTURAL_GREATMEN;雇佣臣属;;;;;;;;;;X
CULTURAL_DECISIONS;中央决议;;;;;;;;;;X
HAVE_CULTURAL_TRADITION_UNDER;文化传统不足 ;;;;;;;;;;X
HAVE_CULTURAL_TRADITION_OVER;文化传统至少有 ;;;;;;;;;;X
DEFINE_HEIR_EFFECT_UNKNOWN;一个新的合法继承人诞生了. \n;;;;;;;;;;X
DYNASTY_IS;统治家族是 ';;;;;;;;;;X
DYNASTY_IS_NOT;统治家族不是 ';;;;;;;;;;X
ADD_HEIR_CLAIM;继承的正当性;;;;;;;;;;X
DEFENDER_DESC;我们的兄弟将会请求信仰守护者帮助他们对抗异端\n和异教徒. 并且这将消耗$VALUE$. 另外, 在 $MONTHS$ 月后, \n比当前信仰守护者更有威望的国家可以夺取此头衔. ;;;;;;;;;;X
CW_WARNDOF; $COUNTRY$ 是 $RELIGION$ 的信仰守护者, 它会保护这一它们. ;;;;;;;;;;X
CW_WARNDOF2; $COUNTRY$ 是 $RELIGION$ 的信仰守护者, 它会保护 $ENEMY$. ;;;;;;;;;;X
LAND_MAINTENANCE_MODIFIER;陆军维护费修正;;;;;;;;;;X
NAVAL_MAINTENANCE_MODIFIER;海军维护费修正;;;;;;;;;;X
CURRENT_DEFENDER_TIP; $COUNTRY$ 会保持这一头衔直到他们输掉一场战争或者有一个\n拥有更高威望的国家宣称这个头衔. ;;;;;;;;;;X
CAN_CLAIM_DOF;现在我们可以宣称我们是信仰守护者了! ;;;;;;;;;;X
S_M_PRONOUN;他;;;;;;;;;;X
S_F_PRONOUN;她;;;;;;;;;;X
CAP_S_M_PRONOUN;他;;;;;;;;;;X
CAP_S_F_PRONOUN;她;;;;;;;;;;X
O_M_PRONOUN;他;;;;;;;;;;X
O_F_PRONOUN;她;;;;;;;;;;X
CAP_O_M_PRONOUN;他;;;;;;;;;;X
CAP_O_F_PRONOUN;她;;;;;;;;;;X
POSS_M_PRONOUN;他的;;;;;;;;;;X
POSS_F_PRONOUN;她的;;;;;;;;;;X
CAP_POSS_M_PRONOUN;他的;;;;;;;;;;X
CAP_POSS_F_PRONOUN;她的;;;;;;;;;;X
M_ADJ;他的;;;;;;;;;;X
F_ADJ;她的;;;;;;;;;;X
CAP_M_ADJ;他的;;;;;;;;;;X
CAP_F_ADJ;她的;;;;;;;;;;X
alert_superior_unit_type_instant;较好的兵种组;;;;;;;;;;X
alert_superior_unit_type_delayed;这些兵种也许是更好的选择:;;;;;;;;;;X
IS_SUPERIOR_TO; 更优越于 ;;;;;;;;;;X
CURRENT_EMPEROR;来自 $NAME$的 $RULERNAME$ 是中原霸主;;;;;;;;;;X
DOMESTIC_MODIFIERS;修正;;;;;;;;;;X
MDEATH_PU_CONTINUES;和  $COUNTRY$  的联合统治得到延续;;;;;;;;;;X
HAVE_LESS_DIPLOMATIC_RELATION;关系低于;;;;;;;;;;X
HAVE_DIPLOMATIC_RELATION;关系好于;;;;;;;;;;X
AND_TRIGGER_STARTS;以下条件必须满足;;;;;;;;;;X
HAVE_MORE_TRADE_RIGHTS_THAN;贸易权的数目至少达到 ;;;;;;;;;;X
HAVE_NOT_MORE_TRADE_RIGHTS_THAN;贸易权的数目不足 ;;;;;;;;;;X
HAVE_TRADE_RIGHTS;拥有 $WITH$ 的 $GOODS$ 贸易权;;;;;;;;;;X
DO_NOT_HAVE_TRADE_RIGHTS;没有 $WITH$ 的 $GOODS$ 的贸易权;;;;;;;;;;X
REVOLUTIONARY_WAR_NAME;第$ORDER$次 $FIRST$-$SECOND$ 革命战争;;;;;;;;;;X
end_bosphorous_sound_toll_title;终止海峡税;;;;;;;;;;X
end_bosphorous_sound_toll_desc;和我们黑海新垦区的贸易因为巨额的海峡通过费正在成为一个陷阱. 我们要, 想办法, 让控制海峡的国家给予热那亚一些让步. ;;;;;;;;;;X
black_sea_free_trade;废止海峡税;;;;;;;;;;X
desc_black_sea_free_trade;热那亚的船只可以免除缴税自由地通过海峡, 避免被骚扰, 检查, 或者勒索了. ;;;;;;;;;;X
end_sound_toll_title;终止海峡税;;;;;;;;;;X
end_sound_toll_desc;够了就是够了. 控制海峡两岸不表示可以控制通过海峡的贸易. 要么与他们交好, 要么用武力打垮他们. 无论如何, 我们通过卡特加特海峡的贸易应该自由无阻. ;;;;;;;;;;X
free_shipping_through_the_sound;自由通行海峡;;;;;;;;;;X
desc_free_shipping_through_the_sound;我们的船只不用再缴海峡税, 我们的贸易额也因此更多了. ;;;;;;;;;;X
HISTORY_OWNER_CHANGE;被$NEW$吞并. ;;;;;;;;;;X
HISTORY_DISCOVERED_BY;被$GROUP$的 $DISCOVERER$ 发现. ;;;;;;;;;;X
HISTORY_BECAME_COT;成为贸易中心. ;;;;;;;;;;X
HISTORY_LOST_COT;不再是贸易中心. ;;;;;;;;;;X
HISTORY_BUILDING_CONSTRUCTED;完成了$BUILDING$的修建. ;;;;;;;;;;X
HISTORY_BUILDING_DEMOLISHED;$BUILDING$被毁掉. ;;;;;;;;;;X
HISTORY_TRADE_GOODS_CHANGE;出产$NEW$而取代了原本的$OLD$. ;;;;;;;;;;X
HISTORY_RELIGION_CHANGE;舍弃了他们的旧信仰而转信$RELIGION$. ;;;;;;;;;;X
HISTORY_CULTURE_CHANGE;接受了 $CULTURE$ 文化. ;;;;;;;;;;X
HISTORY_OCCUPIED_BY;被 $COUNTRY$ 占领. ;;;;;;;;;;X
HISTORY_LIBERATED_BY;从$OLD_ADJ$ 占领下被解放. ;;;;;;;;;;X
HISTORY_CORE_ADD;成为 $COUNTRY$ 的核心领土. ;;;;;;;;;;X
HISTORY_CORE_REMOVE;不再是 $COUNTRY$ 的核心领土. ;;;;;;;;;;X
HISTORY_JOINED_EMPIRE;加入中原. ;;;;;;;;;;X
HISTORY_LEFT_EMPIRE;离开中原. ;;;;;;;;;;X
HISTORY_CITY_GROWTH;人口超过了$SIZE$. ;;;;;;;;;;X
HISTORY_CITY_RENAMED;省会改名为$NEW$. ;;;;;;;;;;X
HISTORY_ADVISOR;一个当地的 $TYPE$, 叫 $NAME$ 的成名了. ;;;;;;;;;;X
HISTORY_DECISION;通过决议: $DECISION$. ;;;;;;;;;;X
xdesc_free_shipping_through_the_sound;我们的船只不用再缴海峡税, 我们的贸易额也因此更多了.;;;;;;;;;;X
YEARLY_CULTURAL_TRADITION;年度文化传统变化;;;;;;;;;;X
EVTNAME9468;僭越王位;;;;;;;;;;X
EVTDESC9468;' $DYNASTY$家族自从获得王位之后就没有什么好消息. 如果你问我怎么办, 我觉得你应该想想, 那些好的事情都是, 万能的神给我们的预示, 说明我的摄政获得了神的喜爱. 因为神站在我这边, 我应该, 由此, 自己去接受王位. 晚安, 我可爱的小王子. ';;;;;;;;;;X
EVTOPTA9468;唉, 这是命中注定了的. ;;;;;;;;;;X
EVTOPTB9468;你这叛徒, 给我去挖矿吧! ;;;;;;;;;;X
EVTNAME9469;明亮的星辰;;;;;;;;;;X
EVTDESC9469;'命运之线总是变幻莫测, 在荣誉和永恒的锋利边缘维持着平衡. 莫测的, 是命运的狂想. 木星的星位, 和月亮都在第七宫内. 我不知道, 他是谁, 但是星象预示了今日在皇宫内诞生的一个孩子, 有朝一日将会成为一个强大王国的国王. ' 占星师如是说. 今日, 王后刚生下了一个孩子.;;;;;;;;;;X
EVTOPTA9469;我应该为他起名为亚历山大;;;;;;;;;;X
EVTOPTB9469;他应该叫做凯撒;;;;;;;;;;X
illegitimate_ruler;统治者被认为是不合法的;;;;;;;;;;X
desc_illegitimate_ruler;我们的大多数人民认为我们目前的统治者不合法. ;;;;;;;;;;X
EVTNAME9470;联姻政策得到回报;;;;;;;;;;X
EVTDESC9470;'陛下! 陛下! ' 传令官甚至都不试图隐藏他们兴奋. '好消息! '. '我们家族的一个孩子成为了一个王位的首选继承人! ';;;;;;;;;;X
EVTOPTA9470;接招吧, 哈布斯堡家族. ;;;;;;;;;;X
PEACE_PROV_SCORE_DESC;每个省份的价值取决于它的税收与人力, 没有被占领的省份价值翻倍, \n省份的价值将在被占领  $YEARS$  之后慢慢减少到原来的  $MIN$  %;;;;;;;;;;X
CONFIRM_WHITE_PEACE;同样无条件停火;;;;;;;;;;X
CONFIRM_WHITE_PEACE_DESC;无条件停火意味着双方都无法获胜, \n双方恶名与声望将不会改变. \n$ACCEPTANCE$  ;;;;;;;;;;X
HEIR_AGE_LESS_THAN;继承人的年龄小于 ;;;;;;;;;;X
HEIR_AGE_AT_LEAST;继承人的年龄至少要 ;;;;;;;;;;X
USURPEROTHER_SETUP;当篡位者夺取了王位 ;;;;;;;;;;X
USURPEROTHER_HEADER;篡位! ;;;;;;;;;;X
USURPEROTHER_1;一位来自 $COUNTRY$ 的使者;;;;;;;;;;X
USURPEROTHER_2;告知我们篡位者;;;;;;;;;;X
USURPEROTHER_3;$USURPER$;;;;;;;;;;X
USURPEROTHER_4;已经统治了;;;;;;;;;;X
USURPEROTHER_5; $COUNTRY$ ;;;;;;;;;;X
USURPEROTHER_6;*;;;;;;;;;;X
USURPEROTHER_LOG;篡位者$USURPER$已经夺取了 $COUNTRY$ 的王位;;;;;;;;;;X
USURPEROTHER_BTN1;好的;;;;;;;;;;X
USURPEROTHER_BTN2;好的;;;;;;;;;;X
USURPEROTHER_BTN3;前往;;;;;;;;;;X
USURPEROTHER_MAP;*;;;;;;;;;;X
EVTNAME9471; $PROVINCENAME$ 边境的紧张局势;;;;;;;;;;X
EVTDESC9471;国与国的边界并非是永恒的, 而是随着各种因素\n不断改变着. 历史或许会证明将 $PROVINCENAME$ \n在$YEAR$在位之时纳入我国是大势所趋, \n $COUNTRY$ 位于 $PROVINCENAME$ \n的重点省份和它的财富使另一边的人们开始妒忌了, \n虽然这对我们不公平, 但是我们位于\n $PROVINCENAME$ 的重点省份附近的边界冲突已经\n使邻国有了对我们的宣战借口.;;;;;;;;;;X
EVTOPTA9471;那也没办法;;;;;;;;;;X
benign_neglect;善意的忽视;;;;;;;;;;X
desc_benign_neglect;我们在这个省份的不干涉经济政策\n已经使它成为了当地的经济中心;;;;;;;;;;X
EVTNAME9472;善意的忽视;;;;;;;;;;X
EVTDESC9472;看来我们的政府把 $PROVINCENAME$ 治理的不错, \n我们的经济政策已经使当地变的十分繁荣;;;;;;;;;;X
EVTOPTA9472;那就继续好好发展吧;;;;;;;;;;X
EVTOPTB9472;既然如此那就加税吧;;;;;;;;;;X
EVTNAME9473;政府特许学校;;;;;;;;;;X
EVTDESC9473;在$YEAR$年我们宣布$MONARCHTITLE$在\n $PROVINCENAME$ 设立了一所政府特许学校';;;;;;;;;;X
EVTOPTA9473;知识就是力量! ;;;;;;;;;;X
EVTOPTB9473;不;;;;;;;;;;X
EVTNAME9475;战争的老兵;;;;;;;;;;X
EVTDESC9475;位于 $PROVINCENAME$ 的老兵协会中有不少人\n都参加了我们上一次战争并因此受了伤, 他们提交\n了一份要求被救济的请愿状. 我们的政府现在对退\n役老兵的待遇貌似实在是不怎么样. "$MONARCHTITLE$, \n我们希望我们对 $COUNTRY$ 所作出的贡献能\n有所回报". 如果我们能让国民明白我们绝不会忘\n记那些为国奋战的老兵们, 从长局看来我们就能招\n募到更多愿意参军的年轻人;;;;;;;;;;X
EVTOPTA9475;谢谢你们对祖国的忠诚, 我勇敢的兄弟们;;;;;;;;;;X
EVTOPTB9475;我认为战争已经结束了;;;;;;;;;;X
veterans_home;退伍军人疗养所;;;;;;;;;;X
desc_veterans_home;这个省份的退伍军人疗养所为老兵们提供周全的照顾. ;;;;;;;;;;X
HISTORY_PROVINCE_RENAMED;把 $OLD$ 命名为 $NEW$ ;;;;;;;;;;X
LEDGER_LEGITIMACY;正统性;;;;;;;;;;X
LEDGER_INFAMY;恶名;;;;;;;;;;X
LEDGER_PAPAL_INF;教廷影响力;;;;;;;;;;X
LEDGER_TRADE_LEAGUE;贸易联盟;;;;;;;;;;X
EVTNAME9476;$DYNASTY$家族;;;;;;;;;;X
EVTDESC9476;我们家族在$FROMCOUNTRY$的分支\n在我们困难的时候送来了援助;;;;;;;;;;X
EVTOPTA9476;$DYNASTY$家族永远团结一心;;;;;;;;;;X
EVTNAME9477;$DYNASTY$家族;;;;;;;;;;X
EVTDESC9477;我们在$FROMCOUNTRY$的亲戚们对我们现在\n的困难无动于衷, 希望上帝会原谅他们这种背信弃义\n的行为;;;;;;;;;;X
EVTOPTA9477;一个不团结的家族将不会长久;;;;;;;;;;X
thalassocracy;海权主义;;;;;;;;;;X
desc_thalassocracy;为了我们的海洋, 我们必须掌控制海权. 我们是一个依靠大海为生的民族, \n我们的国土与新垦区遍布世界, 我们的船只遍布\n四海. 我们以冰冷的海洋为生, 我们绝不允许任\n何人指染她! ;;;;;;;;;;X
confirm_thalassocracy_title;确认建立海权主义;;;;;;;;;;X
confirm_thalassocracy_desc;建立海权主义的话我们将在海军方面得到额外的\n奖励, 使我们在海上立于不败之地;;;;;;;;;;X
disrupt_genoese_trade_title;打击热那亚的贸易;;;;;;;;;;X
disrupt_genoese_trade_desc;万恶热那亚已经取得了博斯普鲁斯的自由贸易权\n并大大的抢夺了我们的市场. 我们必须垄断利古里亚\n的市场或者占领他们在黑海的新垦区来作为反击. ;;;;;;;;;;X
expand_the_franchise_title;扩展特许经销权;;;;;;;;;;X
expand_the_franchise_desc;眼前的这些衣服都有着 $COUNTRY$ 自豪的印章, \n明天你的商人们将把它们卖到遥远的地方来换取\n会进入你的保险箱的金银;;;;;;;;;;X
boom_economy;经济大繁荣;;;;;;;;;;X
desc_boom_economy;我们已经渡过了萧条期, 经济开始高速增长! ;;;;;;;;;;X
secure_trade_rights_title;确保贸易权;;;;;;;;;;X
secure_trade_rights_desc;他们轻蔑的说 $COUNTRY$ 是一个小店主之国! \n他们轻视金钱的因为他们不明白它的本质, 它的\n兴衰起伏与好恶. 但你明白这点, 现在是时间去证\n明一下了.;;;;;;;;;;X
restore_currency_title;重振我们的货币体系;;;;;;;;;;X
restore_currency_desc;我们稳健的货币体系曾经世界闻名, 但是通货膨胀\n已经让它的价值大跌, 现在外国商人已经不再把它\n作为通货了. $MONARCHTITLE$, \n我们请求你重振我们的货币吧;;;;;;;;;;X
implement_gold_standard_title;使用金本位;;;;;;;;;;X
implement_gold_standard_desc;让其他国家去贬值他们的钱吧, 我们的货币应该和黄\n金挂钩, 它将被认同为世界的流通货币. 不过小心, \n这样会购销你之前借出去的贷款. ;;;;;;;;;;X
gold_standard;金本位制;;;;;;;;;;X
desc_gold_standard;我们现在在金本位制度下的通货膨胀会比较少;;;;;;;;;;X
EVTNAME9478;贬值的货币;;;;;;;;;;X
EVTDESC9478;尽管我们曾承诺会保持坚挺的货币, 但我们还是得\n让它贬值. $COUNTRY_ADJ$的金币已经被各\n国的银行和商人们所抛弃, 它的价值正在狂跌. ;;;;;;;;;;X
EVTOPTA9478;我才印了一点点钞票而已! ;;;;;;;;;;X
separation_of_powers;政法分立;;;;;;;;;;X
desc_separation_of_powers;我们已经建立了一套政法分立的宪法, 立法权将独立\n与王权. 人们对他们新得到的自由十分满意, 而我们的\n政府也能更高效的运作;;;;;;;;;;X
formalize_separation_of_powers_title;使政法分立正式化;;;;;;;;;;X
formalize_separation_of_powers_desc;对宪法进行一些改革, 明确各政府部门的权力, 责任\n与关系, 这样就能使政府更高效的运作并使大众对其\n进行有效的监督;;;;;;;;;;X
EVTNAME9479;恢复宪法;;;;;;;;;;X
EVTDESC9479;这个国家的政府转换是不合法的, 我们要求重新建立君主立宪制;;;;;;;;;;X
EVTOPTA9479;为什么你总记着这些小事;;;;;;;;;;X
EVTOPTB9479;好吧, 既然你这么看的话...;;;;;;;;;;X
cult_of_reason;理性崇拜;;;;;;;;;;X
desc_cult_of_reason;上帝已经死了, 再也不会复活了, 我们杀了他. \n身为凶手的我们如何才能重新振作起来呢? \n世界上最伟大的最神圣的已经在我们的刀下死亡了;;;;;;;;;;X
go_cult_of_reason_title;理性崇拜;;;;;;;;;;X
go_cult_of_reason_desc;古老的神和他的偶像们在文明世界面前坠落了, \n长期被无知的枷锁捆绑住的 $COUNTRY$ 的\n人们在一个全新的世界面前觉醒了. 上帝在人类\n无尽的力量之前已经死了;;;;;;;;;;X
EVTNAME9480;停止亵渎;;;;;;;;;;X
EVTDESC9480; $COUNTRY$ 的人民的生活正在渐渐恢复原状, \n在那些日子里信奉其他信仰甚至支持其他的日历都\n是十分安全的. 当理智沉睡的时候会产生恶魔, \n但是当理智觉醒的时候会比恶魔更可怕;;;;;;;;;;X
EVTOPTA9480;在 $PROVINCENAME$ 地区的恐惧与憎恶;;;;;;;;;;X
EVTNAME9481; $PROVINCENAME$ 的怪异;;;;;;;;;;X
EVTDESC9481;黄昏总是最糟糕的时间, 没有月亮的天空飘着环状的云, \n残星就如碎玻璃一样布满天空, 吊灯在房间内投射出奇怪的阴影. \n之后, 人们总会有一股奇怪的, 不对劲的感觉. 这图像看上去总是有一股.... 腐烂的样子. \n回想起来, 这一切都开始于$HEIR$出生之后;;;;;;;;;;X
EVTOPTA9481;总是工作而不娱乐, 即使是聪明的 $MONARCH$ 也变傻了;;;;;;;;;;X
EVTOPTB9481;万能的主呀! ;;;;;;;;;;X
EVTNAME9482;发现;;;;;;;;;;X
EVTDESC9482;"我的殿下$MONARCHTITLE$...", 你立即察觉到有什么不对劲. \n在他的声音之下影藏着轻蔑与恐惧. "...东边地窖\n中的新建的砖墙, 那之后没有藏了什么东西吧? "\n你全都记起来了, 身体感觉起来多么小呀, 放在潮\n湿的空间内, 躺在砖上. 那让你觉得发自内心的疾\n病感. 杀死你的子孙并不是你预料之中的发泄. \n在那一瞬间, 有什么东西在你的脑中闪过...;;;;;;;;;;X
EVTOPTA9482;我都干了什么呀! ? ;;;;;;;;;;X
EVTOPTB9482; $MONARCH$ 在此! ;;;;;;;;;;X
EVTNAME9483;与恐惧共舞;;;;;;;;;;X
